date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:11:12	633/633	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Jun%202026%2009:11:12%20GMT	https://startup-tailwind.preview.uideck.com/robots.txt		(from )
12:11:12	131067/131067	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:11%20GMT	https://startup-tailwind.preview.uideck.com/	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index.html	(from )
12:11:12	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227acbce83cc8c294f1bc6a34bd14ad7b3%22	https://startup-tailwind.preview.uideck.com/favicon.ico	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/favicon.ico	(from https://startup-tailwind.preview.uideck.com/)
12:11:12	52437/52437	---MCZ	200	added ('OK')	text/css	etag:W/%228eeeee21cd5e2dd9623a1feed8650272%22	https://startup-tailwind.preview.uideck.com/style.css	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/style.css	(from https://startup-tailwind.preview.uideck.com/)
12:11:12	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:12%20GMT	https://startup-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:12	2648/2648	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2272505537028392c868016c33db711fcc%22	https://startup-tailwind.preview.uideck.com/images/logo-2.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/logo-2.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:13	2645/2645	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228370a3754a38531c35c60a309ee5d1b6%22	https://startup-tailwind.preview.uideck.com/images/logo.svg	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/images/logo.svg	(from https://startup-tailwind.preview.uideck.com/)
12:11:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:13%20GMT	https://startup-tailwind.preview.uideck.com/about.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/about.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:13	43023/43023	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:13%20GMT	https://startup-tailwind.preview.uideck.com/about	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/about.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:13	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:13%20GMT	https://startup-tailwind.preview.uideck.com/contact.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/contact.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:14	43794/43794	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:14%20GMT	https://startup-tailwind.preview.uideck.com/contact	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/contact.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:14%20GMT	https://startup-tailwind.preview.uideck.com/blog-grids.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-grids.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:14	66560/66560	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:14%20GMT	https://startup-tailwind.preview.uideck.com/blog-grids	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-grids.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:14	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:14%20GMT	https://startup-tailwind.preview.uideck.com/blog-sidebar.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-sidebar.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:15	67068/67068	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:15%20GMT	https://startup-tailwind.preview.uideck.com/blog-sidebar	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-sidebar.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:15%20GMT	https://startup-tailwind.preview.uideck.com/blog-details.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-details.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:15	52098/52098	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:16%20GMT	https://startup-tailwind.preview.uideck.com/blog-details	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/blog-details.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:16%20GMT	https://startup-tailwind.preview.uideck.com/signin.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/signin.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:16	39028/39028	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:16%20GMT	https://startup-tailwind.preview.uideck.com/signin	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/signin.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:16	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2002%20Jun%202026%2009:11:16%20GMT	https://startup-tailwind.preview.uideck.com/signup.html	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/signup.html	(from https://startup-tailwind.preview.uideck.com/)
12:11:16	39491/39491	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2009:11:17%20GMT	https://startup-tailwind.preview.uideck.com/signup	C:/My%20Web%20Sites/haancorp/startup-tailwind.preview.uideck.com/signup.html	(from https://startup-tailwind.preview.uideck.com/)
